model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F2007251,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007251 Topaz Sink cock wall mounted,Sink cock (wall mounted) with 150 mm (6”) long swivel spout and wall flange," 2,615",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007251-Topaz-Sink-cock-wall-mounted.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F9010151,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Faucets - F9010151 Twister Bib cock,Bib cock – Twister," 1,690",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-703.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F9040101,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Faucets - F9040101 Pillar cock,Pillar cock with spatula lever and aerator," 1,990",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-121A.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F3001101,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001101 Ocean Pillar cock,Pillar cock with aerator," 1,285",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001101-Ocean-Pillar-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001103,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001103 Ocean Pillar cock high neck,Pillar cock high neck with aerator," 2,170",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001103-Ocean-Pillar-cock-high-neck.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001104,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001104 Ocean Pillar cock swan neck (Left),Pillar cock with swan neck spout left and aerator," 2,445",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001104-Ocean-Pillar-cock-swan-neck-Left.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001151,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001151 Ocean Bib cock,Bib cock with wall flange and aerator," 1,285",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001151-Ocean-Bib-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001105,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001105 Ocean Pillar cock swan neck (Right),Pillar cock with swan neck spout (right) and aerator," 2,445",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001105-Ocean-Pillar-cock-swan-neck-Right.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001152,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001152 Ocean Bib cock long nose,Bib cock long nose with wall flange and aerator," 1,660",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001152-Ocean-Bib-cock-long-nose.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001163,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001163 Ocean 2-way bib cock,2-Way bib cock with single knob and wall flange," 1,480",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001163-Ocean-2-way-bib-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001201,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001201 Ocean Angle cock,Angle cock with wall flange," 1,070",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001201-Ocean-Angle-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  CC 108A,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001202 Ocean Angle cock,Angle cock with wall flange (small), 770,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001202-Ocean-Angle-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001211,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001211 Ocean 2-way angle cock,2-Way angle cock with wall flange," 1,865",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001211-Ocean-2-way-angle-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
